...1,player_name,position,attempts,completions,comp_pct,pass_yd,pass_td,int,rush_yd,rush_td,fumbles_lost,two_point,fantasy_ppr,weeks_played,calc_fantasy_unfinished,carries,trgt,receptions,rec_yd,rec_td,trgt_share
1,K.Murray,QB,390,259,66.41%,2368,14,7,418,3,2,4,200.52,11,207.52,NA,NA,NA,NA,NA,NA
2,C.McCoy,QB,132,90,68.18%,780,1,3,36,0,0,0,32.8,4,35.8,NA,NA,NA,NA,NA,NA
3,D.Blough,QB,58,38,65.52%,402,2,2,5,0,1,0,18.58,2,20.58,NA,NA,NA,NA,NA,NA
4,T.McSorley,QB,83,45,54.22%,412,0,5,61,0,2,0,8.58,5,13.58,NA,NA,NA,NA,NA,NA
5,J.Conner,RB,NA,NA,NA,NA,NA,NA,782,7,1,0,200.2,13,177.2,183,58,46,300,1,0.0874811463046757
6,E.Benjamin,RB,NA,NA,NA,NA,NA,NA,299,2,0,1,86.3,9,74.3,70,33,24,184,0,0.0497737556561086
7,C.Clement,RB,NA,NA,NA,NA,NA,NA,55,1,0,0,21.9,4,19.4,15,7,5,54,0,0.0105580693815988
8,D.Williams,RB,NA,NA,NA,NA,NA,NA,102,1,0,0,21.1,5,19.1,21,8,4,9,0,0.0120663650075415
9,K.Ingram,RB,NA,NA,NA,NA,NA,NA,60,1,0,0,18.1,10,16.1,27,5,4,21,0,0.00754147812971342
10,T.Williams,RB,NA,NA,NA,NA,NA,NA,0,0,0,0,1.5,1,1,0,1,1,5,0,0.00150829562594268
11,Z.Ertz,TE,NA,NA,NA,NA,NA,NA,0,0,0,2,115.6,10,92.1,0,69,47,406,4,0.104072398190045
12,T.McBride,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,61.5,9,47,0,39,29,265,1,0.0588235294117647
13,M.Williams,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,4.8,2,3.3,0,3,3,18,0,0.00452488687782805
14,S.Anderson,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,3.9,5,2.4,0,7,3,9,0,0.0105580693815988
15,M.Brown,WR,NA,NA,NA,NA,NA,NA,1,0,0,0,156,12,122.5,1,107,67,709,3,0.161387631975867
16,D.Hopkins,WR,NA,NA,NA,NA,NA,NA,0,0,1,0,151.7,9,119.7,0,96,64,717,3,0.144796380090498
17,G.Dortch,WR,NA,NA,NA,NA,NA,NA,44,0,0,0,115.1,11,89.1,7,64,52,467,2,0.0965309200603318
18,R.Moore,WR,NA,NA,NA,NA,NA,NA,-5,0,0,0,87.9,8,67.4,6,56,41,414,1,0.0844645550527904
19,A.Green,WR,NA,NA,NA,NA,NA,NA,0,0,0,1,61.6,13,49.6,0,47,24,236,2,0.0708898944193062
20,R.Anderson,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,14.6,7,11.1,0,17,7,76,0,0.0256410256410256
21,A.Baccellia,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,11.5,5,8,0,10,7,45,0,0.0150829562594268
22,A.Isabella,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,4.1,2,3.1,0,5,2,21,0,0.00754147812971342
23,P.Cooper,WR,NA,NA,NA,NA,NA,NA,15,0,0,0,4.1,2,3.1,4,2,2,6,0,0.00301659125188537
1,M.Mariota,QB,300,184,61.33%,2219,15,9,438,4,3,2,196.56,13,205.56,NA,NA,NA,NA,NA,NA
2,D.Ridder,QB,115,73,63.48%,708,2,0,64,0,2,0,38.72,4,38.72,NA,NA,NA,NA,NA,NA
3,T.Allgeier,RB,NA,NA,NA,NA,NA,NA,1035,3,0,1,159.4,16,151.4,210,17,16,139,1,0.0409638554216867
4,C.Patterson,RB,NA,NA,NA,NA,NA,NA,695,8,1,0,154.7,13,138.2,144,31,21,122,0,0.0746987951807229
5,C.Huntley,RB,NA,NA,NA,NA,NA,NA,366,1,0,0,44.9,12,43.9,76,2,2,3,0,0.00481927710843374
6,A.Williams,RB,NA,NA,NA,NA,NA,NA,109,1,0,0,36,14,29.5,22,14,13,61,0,0.0337349397590361
7,D.Williams,RB,NA,NA,NA,NA,NA,NA,2,0,0,0,0.2,1,0.2,2,0,0,0,0,0
8,K.Pitts,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,75.6,10,61.6,0,59,28,356,2,0.142168674698795
9,M.Pruitt,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,55,10,47,0,21,16,150,4,0.0506024096385542
10,A.Firkser,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,19,8,14.5,0,13,9,100,0,0.0313253012048193
11,P.Hesse,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,17.9,9,13.4,0,11,9,89,0,0.0265060240963855
12,F.Franks,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2,0,1,2,0,0,0,0.00481927710843374
13,D.London,WR,NA,NA,NA,NA,NA,NA,0,0,3,1,178.6,17,142.6,0,117,72,866,4,0.281927710843373
14,O.Zaccheaus,WR,NA,NA,NA,NA,NA,NA,7,0,1,0,110,16,90,2,61,40,533,3,0.146987951807229
15,D.Byrd,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,51.8,12,45.3,0,23,13,268,2,0.0554216867469879
16,K.Hodge,WR,NA,NA,NA,NA,NA,NA,0,0,0,1,41.2,9,34.7,0,20,13,202,1,0.0481927710843374
17,B.Edwards,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,4.5,4,3,0,5,3,15,0,0.0120481927710843
18,F.Darby,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,2.5,1,2,0,1,1,15,0,0.00240963855421687
19,J.Ali,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,1,0,0,0,0.00240963855421687
1,L.Jackson,QB,326,203,62.27%,2242,17,7,764,3,2,1,236.08,12,243.08,NA,NA,NA,NA,NA,NA
2,T.Huntley,QB,112,75,66.96%,658,2,3,137,1,0,1,50.02,5,53.02,NA,NA,NA,NA,NA,NA
3,A.Brown,QB,49,22,44.90%,302,0,2,-5,0,1,0,5.58,2,7.58,NA,NA,NA,NA,NA,NA
4,K.Drake,RB,NA,NA,NA,NA,NA,NA,482,4,0,0,104.1,12,95.6,109,26,17,89,1,0.053388090349076
5,J.Dobbins,RB,NA,NA,NA,NA,NA,NA,520,2,0,0,81.2,8,77.7,92,8,7,42,1,0.0164271047227926
6,G.Edwards,RB,NA,NA,NA,NA,NA,NA,433,3,1,0,59.3,9,59.3,87,2,0,0,0,0.00410677618069815
7,J.Hill,RB,NA,NA,NA,NA,NA,NA,262,0,1,0,42,13,36,49,12,12,58,0,0.0246406570841889
8,M.Davis,RB,NA,NA,NA,NA,NA,NA,18,0,0,0,4.2,5,3.2,8,2,2,4,0,0.00410677618069815
9,M.Andrews,TE,NA,NA,NA,NA,NA,NA,8,0,0,1,190.5,15,154,3,113,73,847,5,0.232032854209446
10,I.Likely,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,91.3,14,73.3,0,60,36,373,3,0.123203285420945
11,J.Oliver,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,40.9,12,33.9,0,25,14,149,2,0.0513347022587269
12,C.Kolar,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,8.9,1,6.9,0,6,4,49,0,0.0123203285420945
13,D.Duvernay,WR,NA,NA,NA,NA,NA,NA,84,1,0,0,116.1,14,91.6,12,49,37,407,3,0.100616016427105
14,D.Robinson,WR,NA,NA,NA,NA,NA,NA,0,0,1,0,103.8,16,79.8,0,75,48,458,2,0.154004106776181
15,R.Bateman,WR,NA,NA,NA,NA,NA,NA,0,0,1,0,53.5,6,46,0,28,15,285,2,0.0574948665297741
16,D.Jackson,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,24.3,7,19.8,0,17,9,153,0,0.0349075975359343
17,S.Watkins,WR,NA,NA,NA,NA,NA,NA,0,0,1,0,12.9,2,11.4,0,5,3,119,0,0.0102669404517454
18,J.Proche,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,12.2,7,10.2,0,17,8,62,0,0.0349075975359343
19,T.Wallace,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,7.3,5,5.3,0,7,4,33,0,0.0143737166324435
20,A.Isabella,WR,NA,NA,NA,NA,NA,NA,1,0,0,0,0.1,1,0.1,1,0,0,0,0,0
1,J.Allen,QB,567,359,63.32%,4283,35,14,762,7,5,2,395.52,16,409.52,NA,NA,NA,NA,NA,NA
2,C.Keenum,QB,7,2,28.57%,8,0,0,0,0,0,0,0.32,2,0.32,NA,NA,NA,NA,NA,NA
3,D.Singletary,RB,NA,NA,NA,NA,NA,NA,819,5,3,0,177.9,16,158.9,177,52,38,280,1,0.0905923344947735
4,J.Cook,RB,NA,NA,NA,NA,NA,NA,507,2,1,0,105.7,16,95.2,89,32,21,180,1,0.0557491289198606
5,N.Hines,RB,NA,NA,NA,NA,NA,NA,-3,0,0,0,28,9,13.5,6,9,5,53,1,0.0156794425087108
6,Z.Moss,RB,NA,NA,NA,NA,NA,NA,91,0,1,0,16.8,5,13.3,17,8,7,27,0,0.0139372822299652
7,D.Johnson,RB,NA,NA,NA,NA,NA,NA,4,0,0,0,0.4,1,0.4,2,0,0,0,0,0
8,D.Knox,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,135.7,15,111.7,0,65,48,517,6,0.113240418118467
9,Q.Morris,TE,NA,NA,NA,NA,NA,NA,0,0,1,0,20.4,6,16.4,0,11,8,84,1,0.0191637630662021
10,T.Sweeney,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,1.7,1,1.2,0,1,1,7,0,0.00174216027874564
11,S.Diggs,WR,NA,NA,NA,NA,NA,NA,-3,0,0,0,316.6,16,262.6,1,154,108,1429,11,0.268292682926829
12,G.Davis,WR,NA,NA,NA,NA,NA,NA,0,0,1,0,171.6,15,147.6,0,93,48,836,7,0.162020905923345
13,I.McKenzie,WR,NA,NA,NA,NA,NA,NA,55,1,0,0,119.8,15,98.8,9,65,42,423,4,0.113240418118467
14,K.Shakir,WR,NA,NA,NA,NA,NA,NA,0,0,0,1,34.1,10,29.1,0,20,10,161,1,0.0348432055749129
15,J.Crowder,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,12,4,9,0,13,6,60,0,0.0226480836236934
16,J.Brown,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,11.2,2,10.7,0,2,1,42,1,0.00348432055749129
17,J.Kumerow,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,10.4,4,8.4,0,7,4,64,0,0.0121951219512195
18,I.Hodgins,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,8.1,1,6.1,0,6,4,41,0,0.0104529616724739
19,C.Beasley,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,3.8,2,2.8,0,2,2,18,0,0.00348432055749129
20,T.Gentry,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,1,0,0,0,0.00174216027874564
1,S.Darnold,QB,140,82,58.57%,1143,7,3,106,2,2,0,86.32,6,89.32,NA,NA,NA,NA,NA,NA
2,B.Mayfield,QB,206,119,57.77%,1313,6,6,52,1,1,0,73.72,7,79.72,NA,NA,NA,NA,NA,NA
3,P.Walker,QB,106,63,59.43%,731,3,3,39,0,0,0,39.14,6,42.14,NA,NA,NA,NA,NA,NA
4,J.Eason,QB,5,3,60.00%,59,0,1,0,0,0,0,0.36,1,1.36,NA,NA,NA,NA,NA,NA
5,D.Foreman,RB,NA,NA,NA,NA,NA,NA,914,5,0,1,131,16,128.5,203,9,5,26,0,0.0196936542669584
6,C.McCaffrey,RB,NA,NA,NA,NA,NA,NA,393,2,0,0,118,6,101.5,85,43,33,277,1,0.0940919037199125
7,C.Hubbard,RB,NA,NA,NA,NA,NA,NA,466,2,0,0,89.7,12,82.7,95,17,14,171,0,0.037199124726477
8,R.Blackshear,RB,NA,NA,NA,NA,NA,NA,77,3,0,0,45,10,40,23,12,10,93,0,0.0262582056892779
9,S.Brown,RB,NA,NA,NA,NA,NA,NA,43,0,0,0,7.3,2,6.3,9,4,2,10,0,0.0087527352297593
10,T.Tremble,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,54.4,14,44.9,0,32,19,174,3,0.0700218818380744
11,I.Thomas,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,40.7,13,30.2,0,30,21,197,0,0.0656455142231947
12,G.Ricci,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,18,6,14,0,9,8,100,0,0.0196936542669584
13,S.Sullivan,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,6.6,4,5.6,0,6,2,46,0,0.0131291028446389
14,D.Moore,WR,NA,NA,NA,NA,NA,NA,53,0,0,0,199.1,17,167.6,10,118,63,888,7,0.258205689277899
15,T.Marshall,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,83,13,69,0,47,28,490,1,0.102844638949672
16,L.Shenault,WR,NA,NA,NA,NA,NA,NA,65,1,0,0,72.7,13,59.2,9,32,27,272,1,0.0700218818380744
17,S.Smith,WR,NA,NA,NA,NA,NA,NA,0,0,1,0,61.6,15,50.6,0,41,22,296,2,0.0897155361050328
18,R.Anderson,WR,NA,NA,NA,NA,NA,NA,0,0,1,0,37.6,5,31.1,0,27,13,206,1,0.0590809628008753
1,J.Fields,QB,318,192,60.38%,2242,17,11,1143,8,2,1,295.98,15,306.98,NA,NA,NA,NA,NA,NA
2,T.Siemian,QB,26,15,57.69%,184,1,1,8,0,0,0,10.16,2,11.16,NA,NA,NA,NA,NA,NA
3,N.Peterman,QB,25,14,56.00%,139,1,1,7,0,0,0,8.26,3,9.26,NA,NA,NA,NA,NA,NA
4,T.Boyle,QB,8,2,25.00%,33,0,2,-2,0,0,0,-2.88,1,-0.88,NA,NA,NA,NA,NA,NA
5,D.Montgomery,RB,NA,NA,NA,NA,NA,NA,801,5,2,0,177.7,16,160.7,201,40,34,316,1,0.106100795755968
6,K.Herbert,RB,NA,NA,NA,NA,NA,NA,731,4,0,0,117.8,13,113.3,129,12,9,57,1,0.0318302387267905
7,D.Evans,RB,NA,NA,NA,NA,NA,NA,64,0,0,0,10.7,3,10.2,14,1,1,33,0,0.0026525198938992
8,T.Ebner,RB,NA,NA,NA,NA,NA,NA,54,0,0,0,7,7,6.5,24,7,1,6,0,0.0185676392572944
9,C.Kmet,TE,NA,NA,NA,NA,NA,NA,9,0,0,0,147.3,17,122.3,2,69,50,544,7,0.183023872679045
10,R.Griffin,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,6.6,7,4.6,0,8,4,26,0,0.0212201591511936
11,T.Wesco,TE,NA,NA,NA,NA,NA,NA,0,0,0,1,6.6,4,5.6,0,4,2,26,0,0.0106100795755968
12,J.Tonges,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,1,0,0,0,0.0026525198938992
13,D.Mooney,WR,NA,NA,NA,NA,NA,NA,2,0,0,0,101.5,11,81.5,1,61,40,493,2,0.161803713527851
14,D.Pettis,WR,NA,NA,NA,NA,NA,NA,37,0,0,0,65.2,14,55.7,2,41,19,245,3,0.108753315649867
15,E.St. Brown,WR,NA,NA,NA,NA,NA,NA,54,0,1,0,63.9,16,52.9,6,39,22,325,1,0.103448275862069
16,V.Jones,WR,NA,NA,NA,NA,NA,NA,103,1,1,0,38,9,34.5,9,14,7,107,1,0.0371352785145889
17,B.Pringle,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,35.5,8,30.5,0,16,10,135,2,0.0424403183023873
18,C.Claypool,WR,NA,NA,NA,NA,NA,NA,4,0,1,0,26.4,7,19.4,1,29,14,140,0,0.0769230769230769
19,N.Harry,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,24.6,6,21.1,0,9,7,116,1,0.0238726790450928
20,N.Webster,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,3.4,1,2.4,0,3,2,14,0,0.00795755968169761
21,I.Smith-Marsette,WR,NA,NA,NA,NA,NA,NA,-1,0,1,0,0.4,3,-0.1,1,4,1,15,0,0.0106100795755968
1,J.Burrow,QB,606,414,68.32%,4475,35,12,257,5,3,3,350.7,16,362.7,NA,NA,NA,NA,NA,NA
2,B.Allen,QB,3,3,100.00%,22,0,0,-1,0,0,0,0.78,1,0.78,NA,NA,NA,NA,NA,NA
3,J.Mixon,RB,NA,NA,NA,NA,NA,NA,814,7,0,0,239.5,14,209.5,210,75,60,441,2,0.123152709359606
4,S.Perine,RB,NA,NA,NA,NA,NA,NA,394,2,0,0,142.1,16,123.1,95,51,38,287,4,0.083743842364532
5,C.Evans,RB,NA,NA,NA,NA,NA,NA,0,0,0,0,12.8,4,11.3,0,4,3,38,1,0.00656814449917898
6,T.Williams,RB,NA,NA,NA,NA,NA,NA,30,0,0,0,8,4,7,6,3,2,30,0,0.00492610837438424
7,H.Hurst,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,105.4,13,79.4,0,68,52,414,2,0.111658456486043
8,M.Wilcox,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,36.9,9,28.4,0,18,17,139,1,0.0295566502463054
9,D.Asiasi,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,2.5,3,1.5,0,4,2,5,0,0.00656814449917898
10,D.Sample,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,1.8,2,0.8,0,2,2,-2,0,0.00328407224958949
11,J.Chase,WR,NA,NA,NA,NA,NA,NA,8,0,2,0,242.4,12,198.9,5,134,87,1046,9,0.220032840722496
12,T.Higgins,WR,NA,NA,NA,NA,NA,NA,0,0,0,1,220.9,14,183.9,0,109,74,1029,7,0.178981937602627
13,T.Boyd,WR,NA,NA,NA,NA,NA,NA,0,0,0,1,167.12,16,137.2,0,82,58,762,5,0.134646962233169
14,T.Irwin,WR,NA,NA,NA,NA,NA,NA,11,0,0,0,63.2,9,55.7,1,23,15,231,4,0.0377668308702791
15,T.Taylor,WR,NA,NA,NA,NA,NA,NA,15,0,0,0,13.7,6,10.7,4,10,6,62,0,0.0164203612479475
16,M.Thomas,WR,NA,NA,NA,NA,NA,NA,0,0,0,1,7.8,4,6.8,0,10,2,38,0,0.0164203612479475
17,S.Morgan,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,1,0,0,0,0.00164203612479475
1,J.Brissett,QB,369,236,63.96%,2608,12,6,243,2,4,0,168.62,14,174.62,NA,NA,NA,NA,NA,NA
2,D.Watson,QB,170,99,58.24%,1102,7,5,175,1,0,0,85.58,6,90.58,NA,NA,NA,NA,NA,NA
3,N.Chubb,RB,NA,NA,NA,NA,NA,NA,1525,12,1,1,281.4,17,267.9,302,37,27,239,1,0.0686456400742115
4,K.Hunt,RB,NA,NA,NA,NA,NA,NA,468,3,0,0,126.8,17,109.3,123,44,35,210,1,0.0816326530612245
5,D.Johnson,RB,NA,NA,NA,NA,NA,NA,17,0,0,0,5.4,3,3.9,4,3,3,7,0,0.00556586270871985
6,D.Felton,RB,NA,NA,NA,NA,NA,NA,-4,0,0,0,2.4,4,1.4,1,4,2,8,0,0.00742115027829314
7,J.Ford,RB,NA,NA,NA,NA,NA,NA,12,0,0,0,1.2,2,1.2,8,0,0,0,0,0
8,D.Njoku,TE,NA,NA,NA,NA,NA,NA,-8,0,1,0,142,14,113,2,80,58,628,4,0.148423005565863
9,H.Bryant,TE,NA,NA,NA,NA,NA,NA,8,0,0,0,61.7,14,46.2,1,42,31,239,1,0.0779220779220779
10,P.Brown,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,9.5,4,7,0,10,5,45,0,0.0185528756957328
11,M.Forristall,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,1,0,0,0,0.00185528756957328
12,A.Cooper,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,246,17,209,0,132,78,1160,9,0.244897959183673
13,D.Peoples-Jones,WR,NA,NA,NA,NA,NA,NA,2,0,1,0,167.1,17,130.6,1,96,61,839,3,0.178107606679035
14,D.Bell,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,45.4,14,33.4,0,35,24,214,0,0.0649350649350649
15,A.Schwartz,WR,NA,NA,NA,NA,NA,NA,57,1,1,0,18.8,6,16.8,4,10,4,51,0,0.0185528756957328
16,M.Woods,WR,NA,NA,NA,NA,NA,NA,-5,0,0,0,9,6,6.5,1,10,5,45,0,0.0185528756957328
17,D.Baldwin,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,4.5,1,3.5,0,2,2,25,0,0.00371057513914657
1,D.Prescott,QB,394,261,66.24%,2860,23,15,182,1,1,0,198.6,12,213.6,NA,NA,NA,NA,NA,NA
2,C.Rush,QB,162,94,58.02%,1051,5,3,6,0,0,0,56.64,8,59.64,NA,NA,NA,NA,NA,NA
3,T.Pollard,RB,NA,NA,NA,NA,NA,NA,1007,9,0,0,248.8,16,229.3,193,55,39,371,3,0.0989208633093525
4,E.Elliott,RB,NA,NA,NA,NA,NA,NA,876,12,0,0,185.8,15,177.3,231,23,17,92,0,0.0413669064748201
5,M.Davis,RB,NA,NA,NA,NA,NA,NA,161,1,0,0,34.4,6,31.4,38,7,6,63,0,0.012589928057554
6,D.Schultz,TE,NA,NA,NA,NA,NA,NA,0,0,1,0,142.7,15,114.2,0,89,57,577,5,0.160071942446043
7,J.Ferguson,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,48.4,11,38.9,0,22,19,174,2,0.039568345323741
8,P.Hendershot,TE,NA,NA,NA,NA,NA,NA,2,1,0,0,39.5,9,34,1,16,11,103,2,0.0287769784172662
9,S.McKeon,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,3.1,2,2.1,0,3,2,11,0,0.00539568345323741
10,C.Lamb,WR,NA,NA,NA,NA,NA,NA,47,0,0,0,301.6,17,248.1,10,156,107,1359,9,0.280575539568345
11,N.Brown,WR,NA,NA,NA,NA,NA,NA,0,0,1,0,114.5,15,93,0,74,43,555,3,0.133093525179856
12,M.Gallup,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,105.4,14,85.9,0,74,39,424,4,0.133093525179856
13,T.Hilton,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,19.1,3,15.6,0,10,7,121,0,0.0179856115107914
14,S.Fehoko,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,5.4,2,3.9,0,4,3,24,0,0.00719424460431655
15,D.Houston,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,3.6,2,2.6,0,6,2,16,0,0.0107913669064748
16,K.Turpin,WR,NA,NA,NA,NA,NA,NA,17,0,0,0,3.6,5,3.1,3,2,1,9,0,0.00359712230215827
17,J.Tolbert,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,3.2,2,2.2,0,3,2,12,0,0.00539568345323741
18,J.Washington,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,1,0,0,0,0.00179856115107914
1,R.Wilson,QB,483,292,60.46%,3524,16,11,277,3,2,0,225.76,15,235.66,NA,NA,NA,NA,NA,NA
2,B.Rypien,QB,88,53,60.23%,483,2,4,7,0,1,0,18.02,4,22.02,NA,NA,NA,NA,NA,NA
3,L.Murray,RB,NA,NA,NA,NA,NA,NA,703,5,0,1,140.7,12,127.7,160,34,26,124,0,0.0595446584938704
4,M.Gordon,RB,NA,NA,NA,NA,NA,NA,318,2,2,0,87.1,10,74.6,90,32,25,223,0,0.0560420315236427
5,J.Williams,RB,NA,NA,NA,NA,NA,NA,204,0,1,0,42,4,34,47,22,16,76,0,0.0385288966725044
6,M.Mack,RB,NA,NA,NA,NA,NA,NA,84,1,0,0,38.3,5,34.3,16,10,8,99,1,0.0175131348511384
7,M.Boone,RB,NA,NA,NA,NA,NA,NA,102,0,0,0,28.8,8,24.3,24,15,9,96,0,0.0262697022767075
8,C.Edmonds,RB,NA,NA,NA,NA,NA,NA,125,0,0,0,24.6,5,21.6,26,7,6,61,0,0.0122591943957968
9,T.Badie,RB,NA,NA,NA,NA,NA,NA,0,0,0,0,9.4,1,8.9,1,1,1,24,1,0.00175131348511384
10,D.Ozigbo,RB,NA,NA,NA,NA,NA,NA,4,0,0,0,1.7,3,1.2,3,1,1,3,0,0.00175131348511384
11,G.Dulcich,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,86.1,10,69.6,0,55,33,411,2,0.0963222416812609
12,E.Saubert,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,35.8,11,28.3,0,24,15,148,1,0.042031523642732
13,E.Tomlinson,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,28.9,8,24.4,0,13,9,79,2,0.0227670753064799
14,A.Okwuegbunam,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,25.5,6,20.5,0,18,10,95,1,0.031523642732049
15,A.Beck,TE,NA,NA,NA,NA,NA,NA,0,0,0,0,11.9,8,9.4,2,11,5,69,0,0.0192644483362522
16,J.Jeudy,WR,NA,NA,NA,NA,NA,NA,40,0,0,0,204.2,15,170.7,4,100,67,972,6,0.175131348511384
17,C.Sutton,WR,NA,NA,NA,NA,NA,NA,5,0,0,0,159.4,15,127.4,1,109,64,829,2,0.190893169877408
18,K.Hinton,WR,NA,NA,NA,NA,NA,NA,13,0,0,0,56.4,11,44.4,2,33,24,311,0,0.0577933450087566
19,K.Hamler,WR,NA,NA,NA,NA,NA,NA,23,0,0,0,25.8,6,22.3,2,14,7,165,0,0.0245183887915937
20,B.Johnson,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,16.2,4,13.2,0,14,6,42,1,0.0245183887915937
21,J.Virgil,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,15.5,4,14.5,0,5,2,75,1,0.00875656742556918
22,F.Swain,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,11.4,3,9.4,0,6,4,74,0,0.010507880910683
23,M.Washington,WR,NA,NA,NA,NA,NA,NA,30,0,0,0,7.2,9,5.2,5,9,4,2,0,0.0157618213660245
24,T.Cleveland,WR,NA,NA,NA,NA,NA,NA,0,0,0,0,4.8,3,3.8,0,7,2,28,0,0.0122591943957968
1,J.Goff,QB,587,382,65.08%,4438,29,7,73,0,4,2,284.32,17,289.82,NA,NA,NA,NA,NA,NA
2,N.Sudfeld,QB,0,0,NA,0,0,0,-4,0,0,0,-0.4,2,-0.4,NA,NA,NA,NA,NA,NA
